Date,Open,High,Low,Close,Adj Close,Volume
2012-12-05,58.270000,59.290001,58.270000,58.799999,47.550407,2428300
2012-12-06,59.049999,59.070000,58.360001,58.490002,47.299706,1968100
2012-12-07,58.799999,59.060001,58.209999,58.480000,47.291630,2301000
2012-12-10,58.650002,58.869999,58.450001,58.509998,47.315891,2328100
2012-12-11,58.610001,59.000000,58.540001,58.869999,47.607021,1814800
2012-12-12,58.900002,59.410000,58.900002,59.270000,47.930492,2538300
2012-12-13,59.189999,59.349998,58.900002,59.340000,47.987095,1766200
2012-12-14,59.189999,59.439999,58.910000,59.180000,47.857704,3034700
2012-12-17,58.910000,59.139999,58.500000,59.070000,47.768749,3382700
2012-12-18,59.000000,59.939999,58.990002,59.849998,48.399509,4102300
2012-12-19,59.900002,60.750000,59.849998,60.529999,48.949421,3860100
2012-12-20,60.270000,60.849998,60.259998,60.480000,48.908989,2885600
2012-12-21,60.480000,60.669998,59.980000,60.439999,48.876644,5996100
2012-12-24,60.200001,60.650002,60.130001,60.369999,48.820042,847300
2012-12-27,60.049999,60.330002,59.380001,60.049999,48.561253,1725600
2012-12-28,59.810001,59.990002,59.639999,59.750000,48.318649,1114500
2012-12-31,59.630001,60.000000,59.450001,59.880001,48.423786,1442600
2013-01-02,60.630001,60.660000,60.020000,60.500000,48.925167,2243400
2013-01-03,60.560001,60.730000,60.349998,60.700001,49.086895,2035000
2013-01-04,60.549999,61.139999,60.549999,61.070000,49.386105,1627800
2013-01-07,61.000000,61.060001,60.369999,60.810001,49.175865,1784000
2013-01-08,60.799999,60.799999,60.310001,60.590000,48.997940,1754200
2013-01-09,60.500000,60.950001,60.500000,60.950001,49.289070,1662400
2013-01-10,61.000000,61.180000,60.830002,60.880001,49.232464,1347500
2013-01-11,60.750000,60.910000,60.619999,60.900002,49.248638,1428400
2013-01-14,60.759998,61.040001,60.669998,61.020000,49.345680,1317700
2013-01-15,60.750000,61.240002,60.750000,61.240002,49.523594,1697900
2013-01-16,61.110001,61.250000,60.939999,61.090000,49.402287,1973300
2013-01-17,61.119999,61.540001,61.110001,61.439999,49.685329,1794300
2013-01-18,61.560001,61.889999,61.450001,61.740002,49.927933,1977500
2013-01-21,61.770000,62.189999,61.770000,61.959999,50.105835,1290900
2013-01-22,61.400002,61.759998,61.200001,61.759998,50.432461,1767400
2013-01-23,61.410000,61.740002,61.410000,61.439999,50.171158,1088700
2013-01-24,61.410000,61.980000,61.410000,61.799999,50.465134,2792200
2013-01-25,61.950001,62.169998,61.849998,62.099998,50.710117,1813000
2013-01-28,62.299999,62.860001,62.220001,62.610001,51.126568,2628000
2013-01-29,62.500000,62.840000,62.410000,62.520000,51.053078,1603400
2013-01-30,62.450001,62.849998,62.439999,62.599998,51.118401,1438200
2013-01-31,62.639999,62.680000,62.119999,62.119999,50.726433,2465800
2013-02-01,62.500000,62.720001,62.279999,62.540001,51.069416,1548600
2013-02-04,61.889999,62.340000,61.669998,62.209999,50.799942,2042900
2013-02-05,62.189999,62.459999,61.930000,62.040001,50.661118,2027200
2013-02-06,62.029999,62.939999,62.009998,62.669998,51.175560,3059000
2013-02-07,62.680000,62.889999,62.299999,62.660000,51.167404,2527700
2013-02-08,62.619999,63.090000,62.610001,62.889999,51.355209,1475500
2013-02-11,62.889999,63.480000,62.840000,63.049999,51.485867,1586700
2013-02-12,63.110001,63.320000,62.900002,63.000000,51.445045,1228600
2013-02-13,63.110001,63.400002,63.049999,63.369999,51.747181,1117800
2013-02-14,63.430000,63.860001,63.250000,63.380001,51.755348,2643700
2013-02-15,63.360001,63.700001,63.200001,63.299999,51.690025,2066200
2013-02-19,63.650002,64.900002,63.650002,64.430000,52.612762,3253200
2013-02-20,64.430000,64.919998,64.339996,64.489998,52.661755,3540100
2013-02-21,64.230003,64.389999,63.669998,63.959999,52.228966,2855000
2013-02-22,63.910000,64.480003,63.840000,64.250000,52.465775,1890200
2013-02-25,64.389999,64.820000,63.509998,63.590000,51.926826,2345300
2013-02-26,63.590000,63.840000,63.009998,63.250000,51.649185,4262000
2013-02-27,63.049999,63.500000,62.509998,63.480000,51.836998,2348200
2013-02-28,64.339996,64.480003,63.430000,64.019997,52.277962,4065700
2013-03-01,64.000000,64.150002,63.500000,63.770000,52.073818,1689300
2013-03-04,63.580002,63.889999,63.299999,63.619999,51.951328,1828300
2013-03-05,64.080002,64.180000,63.730000,63.759998,52.065647,2064400
2013-03-06,64.050003,64.120003,63.049999,63.220001,51.624691,2516200
2013-03-07,63.369999,63.369999,62.509998,62.680000,51.183739,2476700
2013-03-08,62.799999,62.980000,62.009998,62.430000,50.979580,3036200
2013-03-11,62.400002,62.869999,62.320000,62.650002,51.159241,1681400
2013-03-12,62.619999,62.630001,62.240002,62.500000,51.036739,4540700
2013-03-13,62.330002,62.529999,61.000000,61.450001,50.179329,4204300
2013-03-14,61.590000,61.700001,60.900002,61.590000,50.293644,2709000
2013-03-15,61.500000,62.029999,61.330002,61.430000,50.163002,4832100
2013-03-18,61.020000,61.619999,60.689999,61.200001,49.975189,1746500
2013-03-19,61.009998,61.470001,60.880001,61.029999,49.836365,2936500
2013-03-20,61.160000,61.490002,61.040001,61.340000,50.089500,3008500
2013-03-21,61.200001,61.200001,60.540001,60.740002,49.599545,3437400
2013-03-22,60.610001,61.880001,60.590000,61.369999,50.113995,2982800
2013-03-25,61.669998,61.860001,61.000000,61.200001,49.975189,2062600
2013-03-26,61.349998,61.619999,61.080002,61.480000,50.203823,2866300
2013-03-27,61.290001,61.330002,60.529999,60.709999,49.575058,2517700
2013-03-28,60.570000,61.380001,60.130001,61.200001,49.975189,2907500
2013-04-01,61.250000,61.529999,61.130001,61.270000,50.032345,1331400
2013-04-02,61.389999,62.240002,61.380001,62.220001,50.808105,2100400
2013-04-03,62.250000,62.310001,60.990002,61.340000,50.089500,3365300
2013-04-04,61.230000,61.470001,60.200001,60.389999,49.313755,2446600
2013-04-05,59.980000,60.130001,59.490002,59.619999,48.684971,3378000
2013-04-08,59.500000,59.610001,58.820000,59.439999,48.537983,2313400
2013-04-09,59.500000,60.500000,59.130001,60.180000,49.142258,3084700
2013-04-10,60.590000,61.689999,60.389999,61.380001,50.122166,2704400
2013-04-11,61.639999,61.650002,61.000000,61.290001,50.048676,1695800
2013-04-12,60.849998,61.650002,60.779999,61.599998,50.301819,2466900
2013-04-15,61.189999,61.720001,60.790001,60.880001,49.713879,3079500
2013-04-16,61.060001,61.529999,60.799999,61.470001,50.195660,3083000
2013-04-17,61.250000,61.750000,60.560001,61.380001,50.122166,2736200
2013-04-18,61.669998,61.669998,60.799999,61.029999,49.836365,2994600
2013-04-19,60.880001,61.450001,60.880001,61.450001,50.179329,2163300
2013-04-22,61.529999,61.599998,60.650002,60.970001,49.787373,2153400
2013-04-23,60.490002,60.549999,59.639999,59.869999,49.399570,2527000
2013-04-24,59.950001,60.430000,59.520000,60.270000,49.729610,2431500
2013-04-25,60.369999,60.619999,60.110001,60.480000,49.902885,2033000
2013-04-26,60.250000,60.389999,59.730000,60.020000,49.523331,1397200
2013-04-29,60.279999,60.759998,60.060001,60.639999,50.034901,1495600
2013-04-30,60.500000,61.000000,60.009998,60.779999,50.150417,3259700
2013-05-01,60.830002,61.020000,60.180000,60.549999,49.960644,1800900
2013-05-02,60.360001,61.150002,60.110001,60.799999,50.166920,1533200
2013-05-03,61.200001,61.549999,61.009998,61.090000,50.406204,1601300
2013-05-06,61.090000,61.709999,61.070000,61.360001,50.628986,1350000
2013-05-07,61.299999,61.970001,61.230000,61.709999,50.917774,1595800
2013-05-08,61.639999,62.250000,61.630001,62.119999,51.256069,2026400
2013-05-09,62.299999,62.360001,61.500000,61.619999,50.843510,2450900
2013-05-10,61.549999,61.830002,61.320000,61.650002,50.868263,1677300
2013-05-13,61.500000,61.610001,60.919998,61.340000,50.612484,3119500
2013-05-14,61.410000,61.840000,61.349998,61.529999,50.769260,1802300
2013-05-15,61.259998,61.400002,60.599998,60.939999,50.282429,2286300
2013-05-16,61.099998,61.549999,60.869999,61.029999,50.356693,1760200
2013-05-17,60.930000,62.380001,60.549999,62.169998,51.297325,4133000
2013-05-21,62.290001,64.160004,61.990002,63.860001,52.691772,5851600
2013-05-22,63.860001,64.160004,63.259998,63.459999,52.361721,3159800
2013-05-23,63.000000,63.459999,62.750000,63.139999,52.097683,2077700
2013-05-24,62.980000,63.799999,62.950001,63.529999,52.419479,3103400
2013-05-27,63.549999,63.799999,63.049999,63.259998,52.196697,996000
2013-05-28,63.650002,64.239998,63.529999,64.099998,52.889797,3796200
2013-05-29,63.590000,64.099998,63.400002,63.980000,52.790779,2855700
2013-05-30,63.400002,63.509998,62.520000,62.840000,51.850159,3703600
2013-05-31,62.799999,62.799999,61.529999,61.529999,50.769260,4118700
2013-06-03,61.990002,62.070000,61.040001,61.500000,50.744499,2084700
2013-06-04,61.299999,61.720001,61.049999,61.189999,50.488716,1614900
2013-06-05,61.000000,61.009998,60.270000,60.529999,49.944138,2657600
2013-06-06,60.290001,60.369999,59.430000,59.820000,49.358318,3557500
2013-06-07,59.900002,60.230000,59.230000,59.990002,49.498581,2973600
2013-06-10,60.150002,60.570000,59.779999,60.119999,49.605843,1428700
2013-06-11,59.700001,60.299999,59.320000,59.419998,49.028259,2732300
2013-06-12,59.700001,59.799999,58.880001,59.029999,48.706467,2425600
2013-06-13,58.799999,60.830002,58.599998,60.560001,49.968887,3243600
2013-06-14,60.259998,60.680000,59.709999,59.990002,49.498581,3714600
2013-06-17,60.250000,60.910000,60.200001,60.430000,49.861626,2254200
2013-06-18,60.590000,61.360001,60.520000,61.150002,50.455711,1554200
2013-06-19,60.889999,61.099998,60.270000,60.689999,50.076160,3323400
2013-06-20,60.150002,60.250000,58.860001,58.919998,48.615704,7462700
2013-06-21,58.950001,59.889999,58.950001,59.180000,48.830231,7999200
2013-06-24,58.790001,59.860001,58.549999,59.360001,48.978756,2719000
2013-06-25,59.540001,60.150002,59.480000,60.150002,49.630596,3137000
2013-06-26,60.480000,61.389999,60.299999,60.959999,50.298935,3177800
2013-06-27,61.250000,61.349998,60.790001,61.090000,50.406204,2364200
2013-06-28,61.000000,61.750000,60.770000,61.279999,50.562973,3294000
2013-07-02,61.189999,61.389999,60.590000,60.930000,50.274185,2864600
2013-07-03,60.750000,60.880001,59.930000,60.549999,49.960644,2313300
2013-07-04,60.759998,61.130001,60.700001,60.820000,50.183430,694000
2013-07-05,61.000000,61.230000,60.529999,60.869999,50.224682,2178600
2013-07-08,61.000000,61.330002,60.889999,61.160000,50.463959,1486500
2013-07-09,61.290001,61.549999,60.799999,61.540001,50.777500,1916800
2013-07-10,61.490002,61.549999,60.939999,61.230000,50.521717,2054100
2013-07-11,61.590000,61.700001,61.360001,61.619999,50.843510,3019500
2013-07-12,61.900002,61.950001,61.619999,61.799999,50.992039,2430100
2013-07-15,61.919998,62.490002,61.919998,62.259998,51.371590,1791300
2013-07-16,62.500000,62.630001,62.320000,62.580002,51.635624,1995700
2013-07-17,62.619999,63.820000,62.599998,63.799999,52.642262,3652100
2013-07-18,63.990002,64.879997,63.900002,64.779999,53.450874,4800300
2013-07-19,64.400002,65.250000,64.349998,65.089996,53.706646,4574900
2013-07-22,64.910004,65.660004,64.910004,65.660004,54.176971,2882100
2013-07-23,65.010002,65.199997,64.570000,65.059998,54.201962,3658800
2013-07-24,64.910004,65.620003,64.650002,64.910004,54.077000,3367500
